€€≤ 16/01/2023 14:03:50 ≤€€ €€≤      haekal VS andal    ≤€€  €€≤    draw     ≤€€
€€≤ 16/01/2023 14:56:36 ≤€€ €€≤      haekal VS jamal    ≤€€ €€≤      haekal      ≤€€ 
